timestamp,node_id,target_node,latency_ms,rssi_dbm,packet_loss_pct,uptime_s,anomaly_label,anomaly_type
5,esp32_01,esp32_02,6.8,-25,0.0000,5,0,normal
5,esp32_01,esp32_03,11.5,-28,0.0000,5,0,normal
5,esp32_01,esp32_04,9.8,-25,0.0000,5,0,normal
5,esp32_02,esp32_01,10.5,-26,0.0000,5,0,normal
5,esp32_02,esp32_03,9.8,-30,0.0000,5,0,normal
5,esp32_02,esp32_04,7.0,-32,0.0000,5,0,normal
5,esp32_03,esp32_01,13.5,-30,0.0000,5,0,normal
5,esp32_03,esp32_02,10.8,-33,0.0000,5,0,normal
5,esp32_03,esp32_04,11.5,-20,0.0000,5,0,normal
5,esp32_04,esp32_01,12.5,-30,0.0000,5,0,normal
5,esp32_04,esp32_02,10.3,-34,0.0000,5,0,normal
5,esp32_04,esp32_03,12.3,-21,0.0000,5,0,normal
10,esp32_01,esp32_02,7.2,-24,0.0000,10,0,normal
10,esp32_01,esp32_03,12.1,-29,0.0000,10,0,normal
10,esp32_01,esp32_04,10.5,-27,0.0000,10,0,normal
10,esp32_02,esp32_01,9.3,-27,0.0000,10,0,normal
10,esp32_02,esp32_03,10.2,-31,0.0000,10,0,normal
10,esp32_02,esp32_04,7.5,-33,0.0000,10,0,normal
10,esp32_03,esp32_01,14.1,-31,0.0000,10,0,normal
10,esp32_03,esp32_02,11.5,-32,0.0000,10,0,normal
10,esp32_03,esp32_04,12.0,-21,0.0000,10,0,normal
10,esp32_04,esp32_01,13.0,-29,0.0000,10,0,normal
10,esp32_04,esp32_02,11.1,-35,0.0000,10,0,normal
10,esp32_04,esp32_03,12.8,-22,0.0000,10,0,normal
15,esp32_01,esp32_02,8.5,-26,0.0000,15,0,normal
15,esp32_01,esp32_03,10.8,-30,0.0000,15,0,normal
15,esp32_01,esp32_04,9.1,-24,0.0000,15,0,normal
15,esp32_02,esp32_01,7.9,-25,0.0000,15,0,normal
15,esp32_02,esp32_03,11.3,-29,0.0000,15,0,normal
15,esp32_02,esp32_04,8.2,-31,0.0000,15,0,normal
15,esp32_03,esp32_01,12.9,-32,0.0000,15,0,normal
15,esp32_03,esp32_02,9.5,-34,0.0000,15,0,normal
15,esp32_03,esp32_04,13.2,-19,0.0000,15,0,normal
15,esp32_04,esp32_01,11.8,-31,0.0000,15,0,normal
15,esp32_04,esp32_02,10.6,-33,0.0000,15,0,normal
15,esp32_04,esp32_03,14.0,-23,0.0000,15,0,normal
20,esp32_01,esp32_02,6.5,-23,0.0000,20,0,normal
20,esp32_01,esp32_03,13.0,-27,0.0000,20,0,normal
20,esp32_01,esp32_04,10.2,-26,0.0000,20,0,normal
20,esp32_02,esp32_01,11.0,-24,0.0000,20,0,normal
20,esp32_02,esp32_03,8.9,-28,0.0000,20,0,normal
20,esp32_02,esp32_04,6.9,-34,0.0000,20,0,normal
20,esp32_03,esp32_01,15.2,-29,0.0000,20,0,normal
20,esp32_03,esp32_02,12.1,-31,0.0000,20,0,normal
20,esp32_03,esp32_04,10.9,-22,0.0000,20,0,normal
20,esp32_04,esp32_01,14.3,-28,0.0000,20,0,normal
20,esp32_04,esp32_02,9.8,-36,0.0000,20,0,normal
20,esp32_04,esp32_03,11.4,-20,0.0000,20,0,normal
25,esp32_01,esp32_02,7.3,-27,0.0000,25,0,normal
25,esp32_01,esp32_03,12.5,-30,0.0000,25,0,normal
25,esp32_01,esp32_04,8.7,-25,0.0000,25,0,normal
25,esp32_02,esp32_01,9.4,-26,0.0000,25,0,normal
25,esp32_02,esp32_03,10.1,-32,0.0000,25,0,normal
25,esp32_02,esp32_04,7.8,-29,0.0000,25,0,normal
25,esp32_03,esp32_01,13.9,-33,0.0000,25,0,normal
25,esp32_03,esp32_02,10.4,-30,0.0000,25,0,normal
25,esp32_03,esp32_04,11.7,-21,0.0000,25,0,normal
25,esp32_04,esp32_01,12.1,-31,0.0000,25,0,normal
25,esp32_04,esp32_02,11.2,-34,0.0000,25,0,normal
25,esp32_04,esp32_03,13.5,-24,0.0000,25,0,normal
30,esp32_01,esp32_02,6.2,-24,0.0000,30,0,normal
30,esp32_01,esp32_03,11.0,-29,0.0000,30,0,normal
30,esp32_01,esp32_04,9.5,-27,0.0000,30,0,normal
